Starting Training Phase for Epoch 1/5
Epoch 1, Batch 2, Game ID: None, MSE Loss: 86.7040, Percentage Loss: 8.20%, Actual Scores: [95.0, 97.0], Predicted Scores: [93.92820739746094, 84.96003723144531]
Epoch 1, Batch 2, Game ID: None, MSE Loss: 86.7040, Percentage Loss: 8.20%, Actual Scores: [89.0, 103.0], Predicted Scores: [104.77802276611328, 93.45963287353516]
Epoch 1, Batch 2, Game ID: None, MSE Loss: 86.7040, Percentage Loss: 8.20%, Actual Scores: [95.0, 88.0], Predicted Scores: [103.84154510498047, 92.8988265991211]
Epoch 1, Batch 2, Game ID: None, MSE Loss: 86.7040, Percentage Loss: 8.20%, Actual Scores: [99.0, 101.0], Predicted Scores: [97.73638916015625, 90.41368865966797]
Epoch 1, Batch 2, Game ID: None, MSE Loss: 86.7040, Percentage Loss: 8.20%, Actual Scores: [98.0, 107.0], Predicted Scores: [104.30487823486328, 103.57325744628906]
Epoch 1, Batch 2, Game ID: None, MSE Loss: 86.7040, Percentage Loss: 8.20%, Actual Scores: [99.0, 74.0], Predicted Scores: [111.71855926513672, 98.72957611083984]
Epoch 1, Batch 2, Game ID: None, MSE Loss: 86.7040, Percentage Loss: 8.20%, Actual Scores: [108.0, 101.0], Predicted Scores: [104.90399169921875, 90.0579605102539]
Epoch 1, Batch 2, Game ID: None, MSE Loss: 86.7040, Percentage Loss: 8.20%, Actual Scores: [96.0, 91.0], Predicted Scores: [96.09264373779297, 95.62670135498047]
Epoch 1, Batch 2, Game ID: None, MSE Loss: 86.7040, Percentage Loss: 8.20%, Actual Scores: [95.0, 99.0], Predicted Scores: [96.79370880126953, 90.35986328125]
Epoch 1, Batch 2, Game ID: None, MSE Loss: 86.7040, Percentage Loss: 8.20%, Actual Scores: [93.0, 100.0], Predicted Scores: [103.69157409667969, 97.65010833740234]
Epoch 1, Batch 2, Game ID: None, MSE Loss: 86.7040, Percentage Loss: 8.20%, Actual Scores: [99.0, 105.0], Predicted Scores: [107.03980255126953, 97.38590240478516]
Epoch 1, Batch 2, Game ID: None, MSE Loss: 86.7040, Percentage Loss: 8.20%, Actual Scores: [84.0, 97.0], Predicted Scores: [92.78417205810547, 89.48179626464844]
Epoch 1, Batch 2, Game ID: None, MSE Loss: 86.7040, Percentage Loss: 8.20%, Actual Scores: [98.0, 104.0], Predicted Scores: [108.31281280517578, 99.67695617675781]
Epoch 1, Batch 3, Game ID: None, MSE Loss: 193.1029, Percentage Loss: 11.53%, Actual Scores: [90.0, 88.0], Predicted Scores: [102.61970520019531, 99.43932342529297]
Epoch 1, Batch 3, Game ID: None, MSE Loss: 193.1029, Percentage Loss: 11.53%, Actual Scores: [109.0, 96.0], Predicted Scores: [102.05162811279297, 88.91956329345703]
Epoch 1, Batch 3, Game ID: None, MSE Loss: 193.1029, Percentage Loss: 11.53%, Actual Scores: [96.0, 109.0], Predicted Scores: [102.7490234375, 96.57839965820312]
Epoch 1, Batch 3, Game ID: None, MSE Loss: 193.1029, Percentage Loss: 11.53%, Actual Scores: [87.0, 97.0], Predicted Scores: [105.34420013427734, 96.43165588378906]
Epoch 1, Batch 3, Game ID: None, MSE Loss: 193.1029, Percentage Loss: 11.53%, Actual Scores: [118.0, 129.0], Predicted Scores: [107.94219207763672, 103.67034912109375]
Epoch 1, Batch 3, Game ID: None, MSE Loss: 193.1029, Percentage Loss: 11.53%, Actual Scores: [117.0, 97.0], Predicted Scores: [104.89147186279297, 98.57432556152344]
Epoch 1, Batch 3, Game ID: None, MSE Loss: 193.1029, Percentage Loss: 11.53%, Actual Scores: [123.0, 115.0], Predicted Scores: [98.53087615966797, 93.05461120605469]
Epoch 1, Batch 3, Game ID: None, MSE Loss: 193.1029, Percentage Loss: 11.53%, Actual Scores: [91.0, 94.0], Predicted Scores: [107.11591339111328, 96.83035278320312]
Epoch 1, Batch 3, Game ID: None, MSE Loss: 193.1029, Percentage Loss: 11.53%, Actual Scores: [98.0, 94.0], Predicted Scores: [104.17381286621094, 102.84628295898438]
Epoch 1, Batch 3, Game ID: None, MSE Loss: 193.1029, Percentage Loss: 11.53%, Actual Scores: [98.0, 93.0], Predicted Scores: [104.46991729736328, 100.65994262695312]
Epoch 1, Batch 3, Game ID: None, MSE Loss: 193.1029, Percentage Loss: 11.53%, Actual Scores: [66.0, 79.0], Predicted Scores: [108.22732543945312, 93.68019104003906]
Epoch 1, Batch 3, Game ID: None, MSE Loss: 193.1029, Percentage Loss: 11.53%, Actual Scores: [108.0, 107.0], Predicted Scores: [95.0226821899414, 95.20825958251953]
Epoch 1, Batch 3, Game ID: None, MSE Loss: 193.1029, Percentage Loss: 11.53%, Actual Scores: [111.0, 107.0], Predicted Scores: [104.64485168457031, 98.1473388671875]
Epoch 1, Batch 3, Game ID: None, MSE Loss: 193.1029, Percentage Loss: 11.53%, Actual Scores: [114.0, 96.0], Predicted Scores: [100.50224304199219, 101.81166076660156]
Epoch 1, Batch 3, Game ID: None, MSE Loss: 193.1029, Percentage Loss: 11.53%, Actual Scores: [101.0, 84.0], Predicted Scores: [101.44953155517578, 87.29663848876953]
Epoch 1, Batch 3, Game ID: None, MSE Loss: 193.1029, Percentage Loss: 11.53%, Actual Scores: [107.0, 105.0], Predicted Scores: [99.54723358154297, 95.52288818359375]
Epoch 1, Batch 4, Game ID: None, MSE Loss: 354.4750, Percentage Loss: 14.07%, Actual Scores: [101.0, 96.0], Predicted Scores: [101.15631103515625, 96.22034454345703]
Epoch 1, Batch 4, Game ID: None, MSE Loss: 354.4750, Percentage Loss: 14.07%, Actual Scores: [85.0, 74.0], Predicted Scores: [96.23651123046875, 89.8309555053711]
Epoch 1, Batch 4, Game ID: None, MSE Loss: 354.4750, Percentage Loss: 14.07%, Actual Scores: [124.0, 119.0], Predicted Scores: [98.0681381225586, 91.7660903930664]
Epoch 1, Batch 4, Game ID: None, MSE Loss: 354.4750, Percentage Loss: 14.07%, Actual Scores: [88.0, 94.0], Predicted Scores: [103.64080047607422, 95.57841491699219]
Epoch 1, Batch 4, Game ID: None, MSE Loss: 354.4750, Percentage Loss: 14.07%, Actual Scores: [87.0, 64.0], Predicted Scores: [90.05653381347656, 93.02662658691406]
Epoch 1, Batch 4, Game ID: None, MSE Loss: 354.4750, Percentage Loss: 14.07%, Actual Scores: [118.0, 141.0], Predicted Scores: [102.12133026123047, 95.56835174560547]
Epoch 1, Batch 4, Game ID: None, MSE Loss: 354.4750, Percentage Loss: 14.07%, Actual Scores: [130.0, 126.0], Predicted Scores: [93.56537628173828, 83.3104019165039]
Epoch 1, Batch 4, Game ID: None, MSE Loss: 354.4750, Percentage Loss: 14.07%, Actual Scores: [106.0, 91.0], Predicted Scores: [107.0953598022461, 101.50466918945312]
