Starting Training Phase for Epoch 1/5
Epoch 1, Batch 0, Game ID: None, MSE Loss: 173.4444, Percentage Loss: 11.30%, Actual Scores: [85.0, 76.0], Predicted Scores: [100.08454895019531, 95.66341400146484]
Epoch 1, Batch 0, Game ID: None, MSE Loss: 173.4444, Percentage Loss: 11.30%, Actual Scores: [111.0, 129.0], Predicted Scores: [109.772705078125, 108.25942993164062]
Epoch 1, Batch 0, Game ID: None, MSE Loss: 173.4444, Percentage Loss: 11.30%, Actual Scores: [100.0, 83.0], Predicted Scores: [98.76179504394531, 94.29206848144531]
Epoch 1, Batch 0, Game ID: None, MSE Loss: 173.4444, Percentage Loss: 11.30%, Actual Scores: [92.0, 76.0], Predicted Scores: [96.40530395507812, 91.54106903076172]
Epoch 1, Batch 0, Game ID: None, MSE Loss: 173.4444, Percentage Loss: 11.30%, Actual Scores: [107.0, 89.0], Predicted Scores: [97.48955535888672, 92.35255432128906]
Epoch 1, Batch 0, Game ID: None, MSE Loss: 173.4444, Percentage Loss: 11.30%, Actual Scores: [92.0, 99.0], Predicted Scores: [103.78215026855469, 99.9518814086914]
Epoch 1, Batch 0, Game ID: None, MSE Loss: 173.4444, Percentage Loss: 11.30%, Actual Scores: [105.0, 107.0], Predicted Scores: [96.67599487304688, 91.81427764892578]
Epoch 1, Batch 0, Game ID: None, MSE Loss: 173.4444, Percentage Loss: 11.30%, Actual Scores: [97.0, 103.0], Predicted Scores: [108.3753433227539, 105.41580963134766]
Epoch 1, Batch 0, Game ID: None, MSE Loss: 173.4444, Percentage Loss: 11.30%, Actual Scores: [96.0, 92.0], Predicted Scores: [106.9229507446289, 105.1486587524414]
Epoch 1, Batch 0, Game ID: None, MSE Loss: 173.4444, Percentage Loss: 11.30%, Actual Scores: [90.0, 91.0], Predicted Scores: [100.6826400756836, 96.93125915527344]
Epoch 1, Batch 0, Game ID: None, MSE Loss: 173.4444, Percentage Loss: 11.30%, Actual Scores: [90.0, 99.0], Predicted Scores: [105.4537353515625, 102.06804656982422]
Epoch 1, Batch 0, Game ID: None, MSE Loss: 173.4444, Percentage Loss: 11.30%, Actual Scores: [125.0, 121.0], Predicted Scores: [112.68063354492188, 110.15595245361328]
Epoch 1, Batch 0, Game ID: None, MSE Loss: 173.4444, Percentage Loss: 11.30%, Actual Scores: [108.0, 83.0], Predicted Scores: [106.92523193359375, 103.5386962890625]
Epoch 1, Batch 0, Game ID: None, MSE Loss: 173.4444, Percentage Loss: 11.30%, Actual Scores: [111.0, 100.0], Predicted Scores: [104.77461242675781, 100.29421997070312]
Epoch 1, Batch 0, Game ID: None, MSE Loss: 173.4444, Percentage Loss: 11.30%, Actual Scores: [106.0, 132.0], Predicted Scores: [107.66180419921875, 105.9398193359375]
Epoch 1, Batch 0, Game ID: None, MSE Loss: 173.4444, Percentage Loss: 11.30%, Actual Scores: [73.0, 89.0], Predicted Scores: [106.59845733642578, 103.35811614990234]
Epoch 1, Batch 1, Game ID: None, MSE Loss: 130.3538, Percentage Loss: 10.35%, Actual Scores: [104.0, 94.0], Predicted Scores: [107.79559326171875, 106.21808624267578]
Epoch 1, Batch 1, Game ID: None, MSE Loss: 130.3538, Percentage Loss: 10.35%, Actual Scores: [88.0, 100.0], Predicted Scores: [91.0167007446289, 85.99486541748047]
Epoch 1, Batch 1, Game ID: None, MSE Loss: 130.3538, Percentage Loss: 10.35%, Actual Scores: [90.0, 76.0], Predicted Scores: [100.98348236083984, 98.10968017578125]
Epoch 1, Batch 1, Game ID: None, MSE Loss: 130.3538, Percentage Loss: 10.35%, Actual Scores: [100.0, 103.0], Predicted Scores: [92.88096618652344, 88.32427978515625]
Epoch 1, Batch 1, Game ID: None, MSE Loss: 130.3538, Percentage Loss: 10.35%, Actual Scores: [120.0, 98.0], Predicted Scores: [103.68031311035156, 100.35902404785156]
Epoch 1, Batch 1, Game ID: None, MSE Loss: 130.3538, Percentage Loss: 10.35%, Actual Scores: [111.0, 95.0], Predicted Scores: [106.57308197021484, 103.40882110595703]
Epoch 1, Batch 1, Game ID: None, MSE Loss: 130.3538, Percentage Loss: 10.35%, Actual Scores: [98.0, 80.0], Predicted Scores: [104.61650848388672, 101.87873840332031]
Epoch 1, Batch 1, Game ID: None, MSE Loss: 130.3538, Percentage Loss: 10.35%, Actual Scores: [86.0, 74.0], Predicted Scores: [94.59994506835938, 89.7510757446289]
Epoch 1, Batch 1, Game ID: None, MSE Loss: 130.3538, Percentage Loss: 10.35%, Actual Scores: [115.0, 118.0], Predicted Scores: [104.21121978759766, 100.9526596069336]
Epoch 1, Batch 1, Game ID: None, MSE Loss: 130.3538, Percentage Loss: 10.35%, Actual Scores: [85.0, 107.0], Predicted Scores: [104.70689392089844, 101.94448852539062]
Epoch 1, Batch 1, Game ID: None, MSE Loss: 130.3538, Percentage Loss: 10.35%, Actual Scores: [104.0, 86.0], Predicted Scores: [95.82965087890625, 91.81922149658203]
Epoch 1, Batch 1, Game ID: None, MSE Loss: 130.3538, Percentage Loss: 10.35%, Actual Scores: [116.0, 112.0], Predicted Scores: [110.04873657226562, 108.86503601074219]
Epoch 1, Batch 1, Game ID: None, MSE Loss: 130.3538, Percentage Loss: 10.35%, Actual Scores: [103.0, 94.0], Predicted Scores: [100.52183532714844, 98.01106262207031]
Epoch 1, Batch 1, Game ID: None, MSE Loss: 130.3538, Percentage Loss: 10.35%, Actual Scores: [88.0, 107.0], Predicted Scores: [92.95889282226562, 88.04212951660156]
Epoch 1, Batch 1, Game ID: None, MSE Loss: 130.3538, Percentage Loss: 10.35%, Actual Scores: [90.0, 106.0], Predicted Scores: [98.1050796508789, 93.50469207763672]
Epoch 1, Batch 1, Game ID: None, MSE Loss: 130.3538, Percentage Loss: 10.35%, Actual Scores: [91.0, 102.0], Predicted Scores: [101.59315490722656, 98.38240051269531]
Epoch 1, Batch 2, Game ID: None, MSE Loss: 221.1200, Percentage Loss: 10.67%, Actual Scores: [102.0, 94.0], Predicted Scores: [99.97679138183594, 96.7976303100586]
Epoch 1, Batch 2, Game ID: None, MSE Loss: 221.1200, Percentage Loss: 10.67%, Actual Scores: [96.0, 88.0], Predicted Scores: [89.28218078613281, 85.44387817382812]
Epoch 1, Batch 2, Game ID: None, MSE Loss: 221.1200, Percentage Loss: 10.67%, Actual Scores: [110.0, 116.0], Predicted Scores: [91.83026123046875, 86.9374771118164]
Epoch 1, Batch 2, Game ID: None, MSE Loss: 221.1200, Percentage Loss: 10.67%, Actual Scores: [126.0, 125.0], Predicted Scores: [97.92355346679688, 94.47904968261719]
Epoch 1, Batch 2, Game ID: None, MSE Loss: 221.1200, Percentage Loss: 10.67%, Actual Scores: [116.0, 87.0], Predicted Scores: [97.50955963134766, 94.61088562011719]
Epoch 1, Batch 2, Game ID: None, MSE Loss: 221.1200, Percentage Loss: 10.67%, Actual Scores: [104.0, 107.0], Predicted Scores: [97.0868148803711, 93.89938354492188]
Epoch 1, Batch 2, Game ID: None, MSE Loss: 221.1200, Percentage Loss: 10.67%, Actual Scores: [97.0, 94.0], Predicted Scores: [91.8902587890625, 88.04930114746094]
Epoch 1, Batch 2, Game ID: None, MSE Loss: 221.1200, Percentage Loss: 10.67%, Actual Scores: [94.0, 104.0], Predicted Scores: [97.31549072265625, 94.80004119873047]
Epoch 1, Batch 2, Game ID: None, MSE Loss: 221.1200, Percentage Loss: 10.67%, Actual Scores: [109.0, 91.0], Predicted Scores: [100.24823760986328, 97.90401458740234]
Epoch 1, Batch 2, Game ID: None, MSE Loss: 221.1200, Percentage Loss: 10.67%, Actual Scores: [95.0, 104.0], Predicted Scores: [93.12495422363281, 88.64022064208984]
Epoch 1, Batch 2, Game ID: None, MSE Loss: 221.1200, Percentage Loss: 10.67%, Actual Scores: [146.0, 109.0], Predicted Scores: [107.1544189453125, 105.18535614013672]
Epoch 1, Batch 2, Game ID: None, MSE Loss: 221.1200, Percentage Loss: 10.67%, Actual Scores: [124.0, 114.0], Predicted Scores: [102.89955139160156, 101.29558563232422]
Epoch 1, Batch 2, Game ID: None, MSE Loss: 221.1200, Percentage Loss: 10.67%, Actual Scores: [79.0, 76.0], Predicted Scores: [92.09746551513672, 87.92320251464844]
Epoch 1, Batch 2, Game ID: None, MSE Loss: 221.1200, Percentage Loss: 10.67%, Actual Scores: [98.0, 100.0], Predicted Scores: [95.38163757324219, 92.02749633789062]
Epoch 1, Batch 2, Game ID: None, MSE Loss: 221.1200, Percentage Loss: 10.67%, Actual Scores: [107.0, 91.0], Predicted Scores: [100.52239990234375, 98.4147720336914]
Epoch 1, Batch 2, Game ID: None, MSE Loss: 221.1200, Percentage Loss: 10.67%, Actual Scores: [115.0, 117.0], Predicted Scores: [103.88842010498047, 101.41499328613281]
Epoch 1, Batch 3, Game ID: None, MSE Loss: 232.6509, Percentage Loss: 11.79%, Actual Scores: [72.0, 86.0], Predicted Scores: [93.31330108642578, 89.65043640136719]
Epoch 1, Batch 3, Game ID: None, MSE Loss: 232.6509, Percentage Loss: 11.79%, Actual Scores: [107.0, 114.0], Predicted Scores: [94.89759063720703, 92.162109375]
Epoch 1, Batch 3, Game ID: None, MSE Loss: 232.6509, Percentage Loss: 11.79%, Actual Scores: [100.0, 102.0], Predicted Scores: [92.8938217163086, 89.35768127441406]
Epoch 1, Batch 3, Game ID: None, MSE Loss: 232.6509, Percentage Loss: 11.79%, Actual Scores: [107.0, 114.0], Predicted Scores: [93.73898315429688, 89.36016082763672]
Epoch 1, Batch 3, Game ID: None, MSE Loss: 232.6509, Percentage Loss: 11.79%, Actual Scores: [104.0, 123.0], Predicted Scores: [99.37002563476562, 97.72187805175781]
Epoch 1, Batch 3, Game ID: None, MSE Loss: 232.6509, Percentage Loss: 11.79%, Actual Scores: [120.0, 123.0], Predicted Scores: [102.30657196044922, 100.43754577636719]
Epoch 1, Batch 3, Game ID: None, MSE Loss: 232.6509, Percentage Loss: 11.79%, Actual Scores: [103.0, 102.0], Predicted Scores: [94.0351333618164, 92.09640502929688]
Epoch 1, Batch 3, Game ID: None, MSE Loss: 232.6509, Percentage Loss: 11.79%, Actual Scores: [85.0, 92.0], Predicted Scores: [94.98117065429688, 91.97120666503906]
Epoch 1, Batch 3, Game ID: None, MSE Loss: 232.6509, Percentage Loss: 11.79%, Actual Scores: [126.0, 107.0], Predicted Scores: [104.17868041992188, 102.51554870605469]
Epoch 1, Batch 3, Game ID: None, MSE Loss: 232.6509, Percentage Loss: 11.79%, Actual Scores: [90.0, 94.0], Predicted Scores: [92.73809814453125, 89.53527069091797]
Epoch 1, Batch 3, Game ID: None, MSE Loss: 232.6509, Percentage Loss: 11.79%, Actual Scores: [105.0, 99.0], Predicted Scores: [102.79253387451172, 101.57058715820312]
Epoch 1, Batch 3, Game ID: None, MSE Loss: 232.6509, Percentage Loss: 11.79%, Actual Scores: [119.0, 99.0], Predicted Scores: [98.65840911865234, 95.44992065429688]
Epoch 1, Batch 3, Game ID: None, MSE Loss: 232.6509, Percentage Loss: 11.79%, Actual Scores: [106.0, 98.0], Predicted Scores: [93.96817779541016, 89.80375671386719]
Epoch 1, Batch 3, Game ID: None, MSE Loss: 232.6509, Percentage Loss: 11.79%, Actual Scores: [113.0, 106.0], Predicted Scores: [94.75215148925781, 91.6261215209961]
Epoch 1, Batch 3, Game ID: None, MSE Loss: 232.6509, Percentage Loss: 11.79%, Actual Scores: [113.0, 119.0], Predicted Scores: [89.22740173339844, 84.90948486328125]
Epoch 1, Batch 3, Game ID: None, MSE Loss: 232.6509, Percentage Loss: 11.79%, Actual Scores: [92.0, 77.0], Predicted Scores: [92.95621490478516, 89.59524536132812]
Epoch 1, Batch 4, Game ID: None, MSE Loss: 299.0915, Percentage Loss: 12.67%, Actual Scores: [106.0, 104.0], Predicted Scores: [99.12443542480469, 97.23011779785156]
Epoch 1, Batch 4, Game ID: None, MSE Loss: 299.0915, Percentage Loss: 12.67%, Actual Scores: [108.0, 94.0], Predicted Scores: [95.42396545410156, 94.36286163330078]
Epoch 1, Batch 4, Game ID: None, MSE Loss: 299.0915, Percentage Loss: 12.67%, Actual Scores: [77.0, 92.0], Predicted Scores: [92.08659362792969, 88.67550659179688]
Epoch 1, Batch 4, Game ID: None, MSE Loss: 299.0915, Percentage Loss: 12.67%, Actual Scores: [99.0, 106.0], Predicted Scores: [84.49535369873047, 80.73846435546875]
Epoch 1, Batch 4, Game ID: None, MSE Loss: 299.0915, Percentage Loss: 12.67%, Actual Scores: [93.0, 87.0], Predicted Scores: [93.509521484375, 89.22049713134766]
Epoch 1, Batch 4, Game ID: None, MSE Loss: 299.0915, Percentage Loss: 12.67%, Actual Scores: [95.0, 88.0], Predicted Scores: [90.64781951904297, 87.2526626586914]
Epoch 1, Batch 4, Game ID: None, MSE Loss: 299.0915, Percentage Loss: 12.67%, Actual Scores: [135.0, 129.0], Predicted Scores: [96.34754180908203, 94.2934341430664]
