2024-12-04 11:40:06,459 - INFO - Starting Training Phase for Epoch 1/10
2024-12-04 11:40:06,784 - INFO - Epoch 1, Batch 1, Game Index: 11, MSE Loss: 9916.0166, Percentage Loss: 99.24%, Actual Scores: [134.0, 104.0], Predicted Scores: [0.9004480242729187, 0.32115745544433594]
2024-12-04 11:40:06,784 - INFO - Epoch 1, Batch 1, Game Index: 12, MSE Loss: 9916.0166, Percentage Loss: 99.24%, Actual Scores: [88.0, 95.0], Predicted Scores: [0.6479586958885193, 0.9788075685501099]
2024-12-04 11:40:06,784 - INFO - Epoch 1, Batch 1, Game Index: 13, MSE Loss: 9916.0166, Percentage Loss: 99.24%, Actual Scores: [90.0, 112.0], Predicted Scores: [0.7247621417045593, 0.4780004322528839]
2024-12-04 11:40:06,784 - INFO - Epoch 1, Batch 1, Game Index: 14, MSE Loss: 9916.0166, Percentage Loss: 99.24%, Actual Scores: [73.0, 94.0], Predicted Scores: [0.8875569105148315, 0.5092074871063232]
2024-12-04 11:40:06,784 - INFO - Epoch 1, Batch 1, Game Index: 15, MSE Loss: 9916.0166, Percentage Loss: 99.24%, Actual Scores: [107.0, 92.0], Predicted Scores: [0.8426247835159302, 0.3583379089832306]
2024-12-04 11:40:06,924 - INFO - Epoch 1, Batch 2, Game Index: 0, MSE Loss: 8803.4512, Percentage Loss: 97.87%, Actual Scores: [92.0, 93.0], Predicted Scores: [1.9798029661178589, 2.256971597671509]
2024-12-04 11:40:06,925 - INFO - Epoch 1, Batch 2, Game Index: 1, MSE Loss: 8803.4512, Percentage Loss: 97.87%, Actual Scores: [87.0, 82.0], Predicted Scores: [2.0818405151367188, 2.1181015968322754]
2024-12-04 11:40:06,925 - INFO - Epoch 1, Batch 2, Game Index: 2, MSE Loss: 8803.4512, Percentage Loss: 97.87%, Actual Scores: [113.0, 91.0], Predicted Scores: [1.9678876399993896, 2.0040314197540283]
2024-12-04 11:40:06,925 - INFO - Epoch 1, Batch 2, Game Index: 3, MSE Loss: 8803.4512, Percentage Loss: 97.87%, Actual Scores: [95.0, 112.0], Predicted Scores: [1.9053387641906738, 2.0160465240478516]
2024-12-04 11:40:06,925 - INFO - Epoch 1, Batch 2, Game Index: 4, MSE Loss: 8803.4512, Percentage Loss: 97.87%, Actual Scores: [106.0, 101.0], Predicted Scores: [2.0787715911865234, 1.9279354810714722]
2024-12-04 11:40:06,925 - INFO - Epoch 1, Batch 2, Game Index: 5, MSE Loss: 8803.4512, Percentage Loss: 97.87%, Actual Scores: [106.0, 110.0], Predicted Scores: [2.2704086303710938, 2.437938928604126]
2024-12-04 11:40:06,926 - INFO - Epoch 1, Batch 2, Game Index: 6, MSE Loss: 8803.4512, Percentage Loss: 97.87%, Actual Scores: [80.0, 73.0], Predicted Scores: [1.7510128021240234, 2.31709361076355]
2024-12-04 11:40:06,926 - INFO - Epoch 1, Batch 2, Game Index: 7, MSE Loss: 8803.4512, Percentage Loss: 97.87%, Actual Scores: [104.0, 82.0], Predicted Scores: [2.24811053276062, 2.4092226028442383]
2024-12-04 11:40:06,926 - INFO - Epoch 1, Batch 2, Game Index: 8, MSE Loss: 8803.4512, Percentage Loss: 97.87%, Actual Scores: [78.0, 97.0], Predicted Scores: [2.1176834106445312, 2.476217031478882]
2024-12-04 11:40:06,926 - INFO - Epoch 1, Batch 2, Game Index: 9, MSE Loss: 8803.4512, Percentage Loss: 97.87%, Actual Scores: [100.0, 112.0], Predicted Scores: [1.6637763977050781, 1.896561861038208]
2024-12-04 11:40:06,926 - INFO - Epoch 1, Batch 2, Game Index: 10, MSE Loss: 8803.4512, Percentage Loss: 97.87%, Actual Scores: [85.0, 87.0], Predicted Scores: [1.680387258529663, 2.1940248012542725]
2024-12-04 11:40:06,926 - INFO - Epoch 1, Batch 2, Game Index: 11, MSE Loss: 8803.4512, Percentage Loss: 97.87%, Actual Scores: [108.0, 88.0], Predicted Scores: [1.9604097604751587, 1.5055557489395142]
2024-12-04 11:40:06,926 - INFO - Epoch 1, Batch 2, Game Index: 12, MSE Loss: 8803.4512, Percentage Loss: 97.87%, Actual Scores: [105.0, 84.0], Predicted Scores: [2.0997531414031982, 2.3922834396362305]
2024-12-04 11:40:06,926 - INFO - Epoch 1, Batch 2, Game Index: 13, MSE Loss: 8803.4512, Percentage Loss: 97.87%, Actual Scores: [94.0, 102.0], Predicted Scores: [1.6613214015960693, 1.5804842710494995]
2024-12-04 11:40:06,926 - INFO - Epoch 1, Batch 2, Game Index: 14, MSE Loss: 8803.4512, Percentage Loss: 97.87%, Actual Scores: [112.0, 80.0], Predicted Scores: [1.6913098096847534, 1.9461480379104614]
2024-12-04 11:40:06,927 - INFO - Epoch 1, Batch 2, Game Index: 15, MSE Loss: 8803.4512, Percentage Loss: 97.87%, Actual Scores: [96.0, 89.0], Predicted Scores: [1.3621410131454468, 1.8432799577713013]
2024-12-04 11:40:07,248 - INFO - Epoch 1, Batch 3, Game Index: 0, MSE Loss: 9407.4775, Percentage Loss: 96.37%, Actual Scores: [93.0, 84.0], Predicted Scores: [3.5862393379211426, 3.225179672241211]
2024-12-04 11:40:07,248 - INFO - Epoch 1, Batch 3, Game Index: 1, MSE Loss: 9407.4775, Percentage Loss: 96.37%, Actual Scores: [130.0, 123.0], Predicted Scores: [3.6273765563964844, 3.804898500442505]
2024-12-04 11:40:07,248 - INFO - Epoch 1, Batch 3, Game Index: 2, MSE Loss: 9407.4775, Percentage Loss: 96.37%, Actual Scores: [104.0, 100.0], Predicted Scores: [3.737191915512085, 3.3143839836120605]
2024-12-04 11:40:07,248 - INFO - Epoch 1, Batch 3, Game Index: 3, MSE Loss: 9407.4775, Percentage Loss: 96.37%, Actual Scores: [90.0, 105.0], Predicted Scores: [3.2564585208892822, 3.5784473419189453]
2024-12-04 11:40:07,248 - INFO - Epoch 1, Batch 3, Game Index: 4, MSE Loss: 9407.4775, Percentage Loss: 96.37%, Actual Scores: [83.0, 91.0], Predicted Scores: [2.9608590602874756, 2.900599241256714]
2024-12-04 11:40:07,248 - INFO - Epoch 1, Batch 3, Game Index: 5, MSE Loss: 9407.4775, Percentage Loss: 96.37%, Actual Scores: [96.0, 82.0], Predicted Scores: [3.643216371536255, 3.7298877239227295]
2024-12-04 11:40:07,248 - INFO - Epoch 1, Batch 3, Game Index: 6, MSE Loss: 9407.4775, Percentage Loss: 96.37%, Actual Scores: [89.0, 92.0], Predicted Scores: [3.8110196590423584, 3.827014446258545]
2024-12-04 11:40:07,249 - INFO - Epoch 1, Batch 3, Game Index: 7, MSE Loss: 9407.4775, Percentage Loss: 96.37%, Actual Scores: [115.0, 101.0], Predicted Scores: [3.436244249343872, 3.4841437339782715]
2024-12-04 11:40:07,249 - INFO - Epoch 1, Batch 3, Game Index: 8, MSE Loss: 9407.4775, Percentage Loss: 96.37%, Actual Scores: [104.0, 93.0], Predicted Scores: [3.7749805450439453, 3.4308536052703857]
2024-12-04 11:40:07,249 - INFO - Epoch 1, Batch 3, Game Index: 9, MSE Loss: 9407.4775, Percentage Loss: 96.37%, Actual Scores: [106.0, 92.0], Predicted Scores: [3.553678274154663, 3.3150060176849365]
2024-12-04 11:40:07,249 - INFO - Epoch 1, Batch 3, Game Index: 10, MSE Loss: 9407.4775, Percentage Loss: 96.37%, Actual Scores: [95.0, 97.0], Predicted Scores: [3.7178616523742676, 3.706479549407959]
2024-12-04 11:40:07,249 - INFO - Epoch 1, Batch 3, Game Index: 11, MSE Loss: 9407.4775, Percentage Loss: 96.37%, Actual Scores: [81.0, 72.0], Predicted Scores: [3.5517375469207764, 3.1278510093688965]
2024-12-04 11:40:07,249 - INFO - Epoch 1, Batch 3, Game Index: 12, MSE Loss: 9407.4775, Percentage Loss: 96.37%, Actual Scores: [133.0, 99.0], Predicted Scores: [3.860335111618042, 3.6204042434692383]
2024-12-04 11:40:07,249 - INFO - Epoch 1, Batch 3, Game Index: 13, MSE Loss: 9407.4775, Percentage Loss: 96.37%, Actual Scores: [95.0, 100.0], Predicted Scores: [3.6956727504730225, 3.75770902633667]
2024-12-04 11:40:07,249 - INFO - Epoch 1, Batch 3, Game Index: 14, MSE Loss: 9407.4775, Percentage Loss: 96.37%, Actual Scores: [102.0, 111.0], Predicted Scores: [3.6274895668029785, 3.7990987300872803]
2024-12-04 11:40:07,249 - INFO - Epoch 1, Batch 3, Game Index: 15, MSE Loss: 9407.4775, Percentage Loss: 96.37%, Actual Scores: [121.0, 108.0], Predicted Scores: [3.802441358566284, 3.90325927734375]
2024-12-04 11:40:07,472 - INFO - Epoch 1, Batch 4, Game Index: 0, MSE Loss: 9350.4082, Percentage Loss: 94.86%, Actual Scores: [111.0, 113.0], Predicted Scores: [5.30942440032959, 5.442158222198486]
2024-12-04 11:40:07,473 - INFO - Epoch 1, Batch 4, Game Index: 1, MSE Loss: 9350.4082, Percentage Loss: 94.86%, Actual Scores: [101.0, 85.0], Predicted Scores: [5.6184983253479, 5.519486904144287]
2024-12-04 11:40:07,473 - INFO - Epoch 1, Batch 4, Game Index: 2, MSE Loss: 9350.4082, Percentage Loss: 94.86%, Actual Scores: [111.0, 100.0], Predicted Scores: [5.0311994552612305, 4.879715442657471]
2024-12-04 11:40:07,474 - INFO - Epoch 1, Batch 4, Game Index: 3, MSE Loss: 9350.4082, Percentage Loss: 94.86%, Actual Scores: [113.0, 81.0], Predicted Scores: [4.926163673400879, 5.063967704772949]
2024-12-04 11:40:07,474 - INFO - Epoch 1, Batch 4, Game Index: 4, MSE Loss: 9350.4082, Percentage Loss: 94.86%, Actual Scores: [90.0, 92.0], Predicted Scores: [5.1354875564575195, 5.457780838012695]
2024-12-04 11:40:07,475 - INFO - Epoch 1, Batch 4, Game Index: 5, MSE Loss: 9350.4082, Percentage Loss: 94.86%, Actual Scores: [89.0, 105.0], Predicted Scores: [5.212906360626221, 5.460059642791748]
2024-12-04 11:40:07,475 - INFO - Epoch 1, Batch 4, Game Index: 6, MSE Loss: 9350.4082, Percentage Loss: 94.86%, Actual Scores: [104.0, 112.0], Predicted Scores: [5.039840221405029, 4.676018238067627]
2024-12-04 11:40:07,476 - INFO - Epoch 1, Batch 4, Game Index: 7, MSE Loss: 9350.4082, Percentage Loss: 94.86%, Actual Scores: [97.0, 108.0], Predicted Scores: [5.283260345458984, 5.451401233673096]
2024-12-04 11:40:07,476 - INFO - Epoch 1, Batch 4, Game Index: 8, MSE Loss: 9350.4082, Percentage Loss: 94.86%, Actual Scores: [92.0, 86.0], Predicted Scores: [4.949993133544922, 4.801774024963379]
2024-12-04 11:40:07,476 - INFO - Epoch 1, Batch 4, Game Index: 9, MSE Loss: 9350.4082, Percentage Loss: 94.86%, Actual Scores: [104.0, 102.0], Predicted Scores: [4.837742805480957, 5.114189147949219]
2024-12-04 11:40:07,476 - INFO - Epoch 1, Batch 4, Game Index: 10, MSE Loss: 9350.4082, Percentage Loss: 94.86%, Actual Scores: [126.0, 109.0], Predicted Scores: [5.573947429656982, 5.203921794891357]
