Player ID,Player Name
1041.0,Derek Fisher
346.0,Dirk Nowitzki
2968.0,Gary Payton
1009.0,Antoine Walker
1219.0,Devean George
1198.0,Antawn Jamison
735.0,Shaquille O'Neal
942.0,Michael Finley
583.0,Karl Malone
1039.0,Steve Nash
823.0,Bryon Russell
1050.0,Tony Delk
2929.0,Horace Grant
959.0,Travis Best
1414.0,Kareem Rush
1092.0,Danny Fortson
1413.0,Jannero Pargo
1288.0,Eduardo Najera
1472.0,Luke Walton
1470.0,Josh Howard
1043.0,Kobe Bryant
818.0,Shawn Bradley
1326.0,Slava Medvedenko
1471.0,Marquis Daniels
1037.0,Allen Iverson
461.0,Dwyane Wade
944.0,Eric Snow
881.0,Eddie Jones
2895.0,Derrick Coleman
892.0,Brian Grant
1233.0,Kenny Thomas
1014.0,John Wallace
1406.0,John Salmons
203.0,Udonis Haslem
886.0,Aaron McKie
1269.0,Rafer Alston
1309.0,Marc Jackson
1387.0,Malik Allen
1474.0,Willie Green
1357.0,Loren Woods
1055.0,Amal McCaskill
1054.0,Samaki Walker
262.0,Kyle Korver
1216.0,Lamar Odom
1393.0,Samuel Dalembert
577.0,Bimbo Coles
907.0,Glenn Robinson
1473.0,Jerome Beasley
1089.0,Tim Duncan
1027.0,Stephon Marbury
1224.0,Anthony Carter
1226.0,Shawn Marion
1412.0,Manu Ginobili
1364.0,Joe Johnson
1081.0,Bruce Bowen
1317.0,Jake Voskuhl
1049.0,Malik Rose
1475.0,Zarko Cabarkapa
1096.0,Ron Mercer
1433.0,Amar'e Stoudemire
1290.0,Hedo Turkoglu
731.0,Tom Gugliotta
738.0,Robert Horry
799.0,Anfernee Hardaway
1213.0,Rasho Nesterovic
1109.0,Brevin Knight
1028.0,Shane Heal
1434.0,Casey Jacobsen
363.0,Tony Parker
1455.0,Cezary Trybanski
579.0,Kevin Willis
1476.0,Leandro Barbosa
834.0,Allan Houston
1087.0,Tracy McGrady
978.0,Kurt Thomas
1441.0,Drew Gooden
1119.0,Keith Van Horn
922.0,Juwan Howard
1048.0,Shandon Anderson
1187.0,Tyronn Lue
878.0,Howard Eisley
1442.0,Gordan Giricek
918.0,Charlie Ward
1324.0,Donnell Harvey
660.0,Dikembe Mutombo
1173.0,Shammond Williams
1158.0,Michael Doleac
1490.0,Britton Johnsen
1415.0,Frank Williams
995.0,Andrew DeClercq
1492.0,Michael Sweetney
1351.0,Steven Hunter
1045.0,Othella Harrington
1491.0,Reece Gaines
